epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0499,1.5871,1.55921,1.22758,0.86227,0.24025,0.18735,0.0913,1.45057,1.2309,1.11807,0.000472191,0.000472191,0.000472191
2,49.0181,1.31884,0.89598,1.08882,0.92958,0.24778,0.27735,0.1675,1.29151,0.82946,1.08422,0.000929744,0.000929744,0.000929744
3,72.5695,1.28294,0.84539,1.06826,0.84335,0.22971,0.18712,0.12164,1.24982,2.49963,1.05907,0.00136843,0.00136843,0.00136843
4,95.9851,1.26432,0.81334,1.06166,0.94911,0.26886,0.30154,0.19863,1.17777,0.80722,1.03201,0.00134412,0.00134412,0.00134412
5,119.663,1.22328,0.77244,1.04267,0.9568,0.26388,0.30628,0.20461,1.15102,0.7013,1.00854,0.00131582,0.00131582,0.00131582
6,143.071,1.16846,0.72761,1.02763,0.80235,0.32667,0.33616,0.23518,1.11352,0.69593,1.01606,0.00128753,0.00128753,0.00128753
7,166.524,1.14612,0.69538,1.01608,0.69258,0.30464,0.33319,0.224,1.07713,0.63143,0.99368,0.00125923,0.00125923,0.00125923
8,189.907,1.10157,0.66884,0.99895,0.55868,0.36621,0.33281,0.21833,1.22715,0.73855,1.03169,0.00123094,0.00123094,0.00123094
9,213.114,1.07933,0.64691,0.98469,0.79769,0.39314,0.44051,0.30284,1.05156,0.59235,0.97531,0.00120265,0.00120265,0.00120265
10,236.584,1.06024,0.64173,0.97346,0.61871,0.50214,0.51555,0.35766,0.99496,0.58655,0.94912,0.00117435,0.00117435,0.00117435
11,259.929,1.03264,0.61482,0.96744,0.69272,0.5005,0.49785,0.36848,1.00132,0.5686,0.94503,0.00114606,0.00114606,0.00114606
12,283.267,1.00734,0.59884,0.96617,0.70589,0.53919,0.4971,0.35524,1.05029,0.60934,0.96549,0.00111776,0.00111776,0.00111776
13,306.541,0.98384,0.57381,0.9606,0.87627,0.52952,0.56661,0.43319,0.94139,0.52668,0.93732,0.00108947,0.00108947,0.00108947
14,329.99,0.97223,0.57109,0.95584,0.71965,0.41302,0.47552,0.33913,0.9622,0.55572,0.94113,0.00106118,0.00106118,0.00106118
15,353.331,0.941,0.54511,0.93613,0.55178,0.60788,0.58489,0.41558,0.91491,0.51532,0.92429,0.00103288,0.00103288,0.00103288
16,376.695,0.95627,0.55654,0.94128,0.8933,0.60431,0.6579,0.48806,0.9393,0.52606,0.92738,0.00100459,0.00100459,0.00100459
17,400.063,0.91969,0.53046,0.93388,0.69761,0.51845,0.60414,0.44297,0.93878,0.56945,0.93069,0.000976293,0.000976293,0.000976293
18,423.406,0.90392,0.52437,0.92633,0.80095,0.47311,0.54447,0.43386,0.86668,0.48931,0.90694,0.000947999,0.000947999,0.000947999
19,446.733,0.91159,0.52783,0.92886,0.8757,0.41602,0.53497,0.3961,0.93751,0.52549,0.92819,0.000919704,0.000919704,0.000919704
20,470.185,0.87898,0.51195,0.92583,0.83972,0.52366,0.66662,0.4866,0.87189,0.48652,0.91287,0.00089141,0.00089141,0.00089141
21,493.716,0.87702,0.50564,0.91854,0.85829,0.66812,0.72806,0.55387,0.85984,0.48266,0.90487,0.000863116,0.000863116,0.000863116
22,517.152,0.84271,0.49689,0.91561,0.87764,0.70879,0.73947,0.56325,0.88946,0.48433,0.91714,0.000834822,0.000834822,0.000834822
23,540.668,0.85625,0.49227,0.91721,0.77492,0.74935,0.75486,0.57372,0.79789,0.44688,0.89396,0.000806528,0.000806528,0.000806528
24,564.49,0.81969,0.47103,0.90404,0.83101,0.81387,0.81819,0.62269,0.79328,0.44681,0.89015,0.000778233,0.000778233,0.000778233
25,588.133,0.81459,0.47347,0.90642,0.89534,0.70094,0.79568,0.60875,0.80577,0.45734,0.89227,0.000749939,0.000749939,0.000749939
26,611.572,0.80588,0.46592,0.90114,0.96103,0.72256,0.78269,0.62844,0.77098,0.4388,0.8809,0.000721645,0.000721645,0.000721645
27,635.252,0.77694,0.44941,0.89073,0.95092,0.77359,0.80343,0.61285,0.76144,0.4167,0.8807,0.000693351,0.000693351,0.000693351
28,658.596,0.77854,0.45437,0.89394,0.88239,0.7323,0.82543,0.62329,0.76892,0.41919,0.8829,0.000665057,0.000665057,0.000665057
29,681.954,0.76582,0.4468,0.89138,0.84566,0.75941,0.8189,0.64808,0.7256,0.40511,0.87352,0.000636762,0.000636762,0.000636762
30,705.457,0.74594,0.43849,0.88817,0.91569,0.75791,0.84137,0.63169,0.73318,0.43452,0.87745,0.000608468,0.000608468,0.000608468
31,728.832,0.73178,0.4316,0.88958,0.8563,0.83459,0.84139,0.67239,0.69895,0.38928,0.86775,0.000580174,0.000580174,0.000580174
32,752.365,0.734,0.42745,0.87934,0.89887,0.75452,0.78161,0.63013,0.71353,0.40702,0.86461,0.00055188,0.00055188,0.00055188
33,775.696,0.71892,0.41863,0.87942,0.81389,0.73928,0.81523,0.64157,0.73265,0.40311,0.87067,0.000523586,0.000523586,0.000523586
34,799.153,0.71653,0.4194,0.87882,0.96064,0.80923,0.84828,0.66482,0.67095,0.3866,0.85579,0.000495291,0.000495291,0.000495291
35,822.824,0.69388,0.40635,0.87424,0.95497,0.80322,0.85626,0.70166,0.66528,0.37676,0.85688,0.000466997,0.000466997,0.000466997
36,846.651,0.6819,0.40156,0.87974,0.92596,0.92941,0.93731,0.71649,0.6811,0.38236,0.86141,0.000438703,0.000438703,0.000438703
37,870.352,0.67117,0.3998,0.87258,0.92862,0.81525,0.86771,0.70497,0.63845,0.36771,0.85076,0.000410409,0.000410409,0.000410409
38,893.761,0.67371,0.39636,0.8704,0.84334,0.87908,0.90217,0.72448,0.64742,0.36848,0.85242,0.000382115,0.000382115,0.000382115
39,917.794,0.64178,0.38363,0.86536,0.95995,0.84687,0.91484,0.73349,0.66242,0.37586,0.85578,0.00035382,0.00035382,0.00035382
40,941.92,0.63666,0.38402,0.86379,0.90478,0.88139,0.90341,0.71875,0.6424,0.36257,0.85097,0.000325526,0.000325526,0.000325526
41,986.003,0.59085,0.35041,0.84984,0.87583,0.83007,0.86045,0.69384,0.65971,0.38863,0.85697,0.000297232,0.000297232,0.000297232
42,1009.05,0.57377,0.34251,0.84193,0.80646,0.88597,0.88218,0.72869,0.62352,0.35539,0.84858,0.000268938,0.000268938,0.000268938
